Scheme Name,Ministries/Departments,Description & Benefits,Tags
Backward Class Students Meritorious Award Scheme,Madhya Pradesh,"""Backward Classes Student Merit Award Scheme"" aims to recognize and reward academic excellence among backward-class students. Monetary awards are provided to one boy and one girl student from backward classes who secure the highest marks at the district level in class 10th and 12th board exams.","Award, Backward Class, Education, Examination, Meritorious, Student"
Jharkhand Sportsperson Pension Scheme,Jharkhand,"The “Jharkhand Sportsperson Pension Scheme” aims to provide financial support to retired athletes for their lifelong contribution to sports. Athletes, including Arjuna, Dronacharya, and Dhyan Chand awardees, Olympic participants, and Commonwealth or Asian Games medalists, receive a monthly pension.","Financial Assistance, Pension, Sportsperson"
Madhya Pradesh Professional Talent Examination Award Scheme,Madhya Pradesh,"""M.P. Professional Talent Examination Award Scheme"" aims to recognize and reward backward-class students who excel in professional entrance examinations. Monetary awards are provided to backward-class students who secure the top three positions in entrance examinations like PET, PPT, and MCA.","Award, Backward Class, Education, Examination, Student"
Aahar Anudan Yojana,Madhya Pradesh,"The scheme ""Aahar Anudan Yojana"" provides monthly assistance of ₹1,000 to students, girls, and women from backward tribes like Baiga, Bharia, and Saharia. The scheme aims to combat malnutrition among special tribal families by ensuring access to nutritious food through financial assistance.","Child Care, Financial Assistance, Food, Meal, Nutrition, Women"
Poshan Sudha,Gujarat,This scheme is a government initiative to provide nutrition and healthcare support to pregnant and lactating mothers in tribal districts of Gujarat.,"Child, Nutritional Support, Pregnant Women"
Satat Jeevikoparjan Yojana (SJY),Bihar,"""Satat Jeevikoparjan Yojana (SJY)"" is a flagship program launched by the Government of Bihar to uplift ultra-poor households through comprehensive livelihood support, skill-building, and financial inclusion.","Capacity Building, Livelihood Support, Rural Development, Skill Upgradation, Training"
Production Linked Incentive Scheme (PLI) For Promoting Telecom & Networking Products Manufacturing In India,Ministry Of Communication,"Production Linked Incentive (PLI) Scheme aims to boost domestic manufacturing, investments and export in the telecom and networking products The PLI Scheme will be implemented within the overall financial limits of ₹ 12,195 Crores only (Rupees Twelve Thousand One Hundred and Ninety-Five Crore only)","Electronic Manufacturing, Make In India, Networking Products, Production Linked Incentive Scheme, Telecom Equipments"
Pradhan Mantri Fasal Bima Yojna (PMFBY),Ministry Of Agriculture and Farmers Welfare,Pradhan Mantri Fasal Bima Yojana was launched in  2016 with the aim to support farmers by providing an affordable comprehensive risk cover for crops.,"Agriculture, Crop, Farmer, Insurance, Premium"
National Agriculture Insurance Scheme,Ministry Of Agriculture and Farmers Welfare,"The National Agriculture Insurance Scheme (NAIS) was introduced by the Government of India to provide comprehensive insurance coverage and financial support to farmers against crop losses due to natural calamities, pests, and diseases.","Agriculture Subsidy, Crop Insurance, Farmers, Natural Disaster Coverage"
Free Employment Oriented Training to Educated Unemployed Youth of Backward Class and Minority Class,Madhya Pradesh,"""Free Employment Oriented Training to Educated Unemployed Youth of Backward Class and Minority Class"" aims to provide quality pre-examination training for various employment-oriented competitive examinations to talented but economically disadvantaged young men and women.","Backward Class, Educated, Employment, Minority, Training"
Aam Aadmi Bima Yojana,Ministry Of Labour and Employment,"The Aam Aadmi Bima Yojana (AABY) is a social security scheme for rural landless households implemented by the Ministry of Labour & Employment, Government of India. The scheme provides insurance coverage to the head of the household or an earning member of the family in the age group of 18 to 59.","Bima, DBT, Incentive, Insurance, Labour Welfare"
"Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Interest Subsidy to Micro, Small and Medium Enterprise (Manufacturing Sector)",Gujarat,"The ""Aatmanirbhar Gujarat Scheme for assistance to MSMEs"" aims to empower the state's dynamic MSME sector, which significantly contributes to employment, GDP, and exports.","Business, Entrepreneurship, Interest Subsidy, MSMEs"
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Financial Support to MSMEs in ZED Certification,Gujarat,"The ""Aatmanirbhar Gujarat Scheme for assistance to MSMEs"" aims to empower the state's dynamic MSME sector, which significantly contributes to employment, GDP, and exports.","Business, Entrepreneurship, MSMEs, ZED Certification"
"Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Net SGST reimbursement to Micro, Small and Medium Manufacturing Enterprise (MSMEs):",Gujarat,"The ""Aatmanirbhar Gujarat Scheme for assistance to MSMEs"" aims to empower the state's dynamic MSME sector, which significantly contributes to employment, GDP, and exports.","Business, Entrepreneurship, Interest Subsidy, MSMEs"
Production Incentive / Back-Ended Subsidy for Cultivation of Horticulture Crops,Puducherry,"Through this scheme, the farmers who possess farmer's identity cards / authenticated land records/documents are provided with One-Time Assistance/ Bi‐Annual Assistance/ Annual Assistance for the Cultivation of Horticulture Crops such as Mango, Guava, and Sapota.","Crop, Farmer, Horticulture, Incentive, Subsidy"
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance of Capital Investment Subsidy to Micro enterprises,Gujarat,"The ""Aatmanirbhar Gujarat Scheme for assistance to MSMEs"" aims to empower the state's dynamic MSME sector, which significantly contributes to employment, GDP, and exports.","Business, Capital Investment Subsidy, Entrepreneurship, MSMEs"
Construction of Godown for Grain Storage,Madhya Pradesh,"Launched on 24th December 2013, the scheme ""Construction of Warehouse for Grain Storage"" by the Panchayat and Rural Development Department, Government of Madhya Pradesh aims to provide modern and scientific food grain storage facilities under Food Security Act 13 to applicants in rural areas.","Agriculture, Farmer, Food Security, Godown, Storage"
Jharkhand Petrol Subsidy Scheme,Jharkhand,"The scheme ""Petrol Subsidy Scheme"" implemented by the Food, Public Distribution & Consumer Affairs Department, Government of Jharkhand, aims to provide a petrol subsidy of ₹250 per month for two-wheelers to eligible NFSA/Jharkhand State Food Security Scheme beneficiaries.","Petrol, Rural, Subsidy, Two-wheelers"
Mukhyamantri Gambhir Bimari Upchar Yojana,Jharkhand,"The scheme ""Mukhyamantri Gambhir Bimari Upchar Yojana"" by the Department of Health, Medical Education & Family Welfare, Government of Jharkhand, provides medical grants of up to ₹5,00,000/- for the treatment of critical illnesses and supports acid attack victims.","Financial Assistance, Hospital, Illnesses, Medical"
Shaktidoot Scheme,Gujarat,"The ""Shaktidoot Scheme"", an initiative by the Gujarat Government in 2006, supports talented sportspersons in achieving excellence at national and international levels by providing need-based sports facilities and financial assistance.","Athlete Financial Aid, Sports Excellence, Sports Nutrition, Sports Training"
Junior Research Fellowship In Engineering & Technology,Ministry of Education,"The scheme ""Junior Research Fellowship in Engineering & Technology"" by the University Grants Commission (UGC), Department of Higher Education is meant for candidates who wish to pursue research leading to a Ph.D. degree in engineering and technology.","Fellowship, Science"
National Centre For Communications Security (NCCS) Internship Scheme,Ministry Of Communication,The National Centre for Communications Security (NCCS) Internship Scheme allows young talent to be associated with the NCCS work for mutual benefit. It will enable NCCS to interact with young scholars and to get fresh ideas and study/ research support from the field of academics.,"Education, Graduation, Internship, Student, Training"
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Saving in Consumption of Energy and Water,Gujarat,"The ""Aatmanirbhar Gujarat Scheme for assistance to MSMEs"" aims to empower the state's dynamic MSME sector, which significantly contributes to employment, GDP, and exports.","Business, Energy Conservation, Entrepreneurship, MSMEs, Water Conservation"
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Power Connection Charges,Gujarat,"The ""Aatmanirbhar Gujarat Scheme for assistance to MSMEs"" aims to empower the state's dynamic MSME sector, which significantly contributes to employment, GDP, and exports.","Business, Entrepreneurship, Power Connection, Subsidy"
Distribution of Horticulture Kit to Urban and Rural Areas,Puducherry,"Through this scheme, all the horticulture growers in rural & urban areas are provided with a horticulture kit worth ₹ 3,000 per kit to urban and rural areas, during Aadipattam/Thaipattam, through the Additional Director of Agriculture (Horticulture).","Agriculture, DBT, Farmer, Horticulture, Subsidy"
Haryana Pre Matric Scholarship For Minority,Haryana,"Launched in June 2006 under the Prime Minister's New 15 Point Programme for the Welfare of Minorities, the ""Pre-Matric Scholarship for Students Belonging to the Minority Communities"" is a Centrally Sponsored Scheme by the Ministry of Minority Affairs, Government of India.","Admission Fees, Allowance, Education, Minority, Scholarship, Student, Tuition Fees"
Primary Education Scholarship (Madhya Pradesh),Madhya Pradesh,"The ""Primary Education Scholarship"" scheme provides ₹150/- annually to students from De-notified, Nomadic, and Semi-Nomadic communities who are studying in classes 1st to 5th.  The scholarship distribution is managed through the Directorate of Public Education, Government of Madhya Pradesh.","Education, Scholarship, Student, Studying"
Running of Scheduled Caste Hostel,Madhya Pradesh,"The ""Running of Scheduled Caste Hostels"" scheme by the Tribal Welfare and Scheduled Caste (SC) Department, Government of Madhya Pradesh, aims to provide housing and a conducive study environment for Scheduled Caste students. Separate junior, senior, and college hostels are operated for boys & girls.","Hostel, Housing, Scheduled Caste, Student"
₹ 5 Lakh Insurance Cover To Farmers,Telangana,"Launched on 15 August 2018, the scheme ""₹5 Lakh Insurance Cover for Farmers"" is an Insurance Scheme by the Department of Agriculture, Government of Telangana. This scheme provides ₹5 lakh insurance coverage to all farmers aged between 18 and 60 years.","Financial, Insurance Coverage, LIC, Security"
"Junior Research Fellowship In Sciences, Humanities, And Social Sciences",Ministry of Education,"The scheme of Junior Research Fellowship in Sciences, Humanities, and Social Science by UGC, Dept. of Education, is open to candidates who qualify for the National Eligibility Test-Junior Research Fellowship(NET-JRF) of the UGC and the UGC-Council of Scientific and Industrial Research (UGC-CSIR).","Fellowship, Junior, Research, Students, University"
"Scheme of Free Supply of Textbooks, Stationery, Uniforms and Footwears to Poor Children",Puducherry,"Through this scheme, textbooks, notebooks, Uniforms, dictionaries, stationery, etc. are provided free of cost to all students studying in LKG to 12th Standard of all Government and Government-aided Private Schools. The objective of this scheme is to achieve 100% student enrolment.","Book, Stationery, Student, Student, Uniform"
Distribution of Vegetable Seeds Minikit & Fruits Minikit at Free of Cost,Puducherry,"“Distribution of Vegetable Seeds Minikit & Fruits Minikit at Free of Cost"" was launched by the Dept of Agriculture and Farmer's Welfare, UT of Puducherry. All the horticulture growers of rural & urban areas are provided with vegetable seeds minikit & fruits minikit worth ₹250/‐ free of cost.","Crop, Farmer, Fruit, Seed, Vegetable"
Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries: Reimbursement of Stamp Duty and Registration Fees,Gujarat,"The ""Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries"" aims to strengthen the overall industrial ecosystem in the State and also enable a larger set of manufacturing companies to emulate the adoption of clean energy and make them future-ready to compete in global markets.","Business, Entrepreneurship, Mega Industries, Thrust Manufacturing Sector"
Reservoir Fisheries Development Scheme,Jharkhand,"The scheme ""Reservoir Fisheries Development Scheme"" by the Department of Fisheries, Government of Jharkhand, enhances fish production and livelihood opportunities for registered fisheries cooperatives through the provision of fish fingerlings, boats, and nets.","Development, Financial Assistance, Fisheries, Subsidy"
Sona Sobaran Dhoti Saree Distribution Scheme,Jharkhand,"The ""Sona Sobaran Dhoti Saree Distribution Scheme"" by the Department of Food, Public Distribution and Consumer Affairs, Government of Jharkhand, provides one dhoti/lungi and one saree at a subsidized rate to NFSA and JSFSS beneficiaries to ensure clothing accessibility for low-income families","Clothes, Saree, Subsidized Rate"
Sugar Distribution Scheme,Jharkhand,"The ""Sugar Distribution Scheme"" by the Department of Food, Public Distribution and Consumer Affairs, Government of Jharkhand, aims to provide subsidized sugar to AAY households under NFSA, ensuring access to essential food commodities at affordable rates.","Food, Subsidized Rate, Sugar"
Chief Minister Help Scheme,Madhya Pradesh,"Launched on 02-10-2019, the Chief Minister Help Scheme under the Tribal Welfare and Scheduled Caste (SC) Department, Madhya Pradesh, provides food distribution and material aid to Scheduled Tribe beneficiaries whose family members are not in government service.","Birth, Children, Death, Family"
"AICTE - Scheme For Promoting Interests, Creativity And Ethics Among Students",Ministry of Education,"AICTE-SPICES scheme provides financial support to institutions for developing students' clubs for the well-rounded development of students by promoting their interests, creativity, and ethics. This club should serve as a model for other clubs in the institution and also those in other institutions.","Institution, Student"
Kisan Samriddhi Yojana Jharkhand,Jharkhand,"The ""Kisan Samriddhi Yojana"" by the Department of Agriculture, Animal Husbandry & Cooperative, Government of Jharkhand, promotes solar-powered irrigation systems to reduce agricultural costs and dependency on fossil fuels. Farmers receive up to 90% subsidy for solar units under this initiative.","Farmers, Self-help Group, Solar Units, Subsidy"
Aatmanirbhar Gujarat Scheme for assistance to Large Industries and Thrust Sector: Net SGST Reimbursement,Gujarat,"The ""Aatmanirbhar Gujarat Scheme for assistance to Large Industries and Thrust Sector""  aims to provide incentives to attract increased investments in the manufacturing sector to create more employment opportunities in Gujarat.","Business, Entrepreneurship, Large Industries, Net SGST Reimbursement, Thrust Sector"
Aatmanirbhar Gujarat Scheme for assistance to Large Industries and Thrust Sector: Assistance of Interest Subsidy,Gujarat,"The ""Aatmanirbhar Gujarat Scheme for assistance to Large Industries and Thrust Sector""  aims to provide incentives to attract increased investments in the manufacturing sector to create more employment opportunities in Gujarat.","Business, Entrepreneurship, Interest Subsidy, Large Industries, Thrust Sector"
Distribution of Kerosene Oil Scheme,Jharkhand,"The ""Distribution of Kerosene Oil Scheme"" by the Department of Food, Public Distribution and Consumer Affairs, Government of Jharkhand, supports NFSA beneficiaries and others by providing 1 liter of kerosene oil at subsidized rates.","Kerosene Oil, National Food Security Act, Subsidized Rate"
Banglar Awaas Yojana (BAY),West Bengal,"""Banglar Awaas Yojana (BAY)"" provides financial assistance to houseless households and those living in kutcha or dilapidated houses, helping them build pucca houses with essential amenities. The scheme offers financial assistance with additional support for toilets and unskilled workdays.","Citizen Empowerment, Housing"
Free Bicycle Distribution Scheme,Jharkhand,"The ""Free Bicycle Distribution Scheme"" by the Welfare Department, Government of Jharkhand, aims to provide financial aid for bicycle purchases to Scheduled Caste (SC) students studying in Class 8th. Each student receives ₹3000 through DBT.","Bicycle, Financial Assistance, Scheduled Caste, Student"
AICTE - Grant For Augmenting Infrastructure In North Eastern Region,Ministry of Education,"The scheme ""AICTE - Grant for Augmenting Infrastructure in North Eastern Region (GAINER)"" was introduced by AICTE to enhance the functional efficiency of the technical institutes located in far-flung areas of North East India, by addressing deficiencies in water, electricity, and internet.","Grant, Infrastructure"
National Awards For Outstanding Services In The Field Of Prevention Of Alcoholism And Substance (Drug) Abuse: Best Integrated Rehabilitation Centre For Addicts (IRCA) For Providing Rehabilitation Services To Alcoholics And Drug Users,Ministry Of Social Justice and Empowerment,"The Scheme of ""National Awards for Outstanding Services in the field of Prevention of Alcoholism and Substance (Drug) Abuse"" by the MoSJE, GoI shall be applicable to Institutions and Individuals working in the field of Prevention of Alcoholism and Substance (Drug) Abuse.","Alcoholism, Award, Drug Abuse, Rehabilitation"
Financial Assistance for Marriage (HPBOCWWB),Himachal Pradesh,"The Financial Assistance for Marriage scheme under the Himachal Pradesh Building and Other Construction Workers Welfare Board provides ₹51,000/- for the marriage of a registered unmarried beneficiary and ₹51,000/- per child for the marriage of up to two children of a married beneficiary.","Building Worker, Construction Workers, Financial Support, Labour, Marriage"
"Strengthening Skills, Arts and Employment through ITIs",Madhya Pradesh,"The ""Strengthening Skills, Arts, and Employment through ITIs"" initiative by the Department of De-notified, Nomadic, and Semi-Nomadic Welfare, Government of Madhya Pradesh, aims to connect these skills with modern technology, short-term, employment-oriented training has been provided through ITIs.","Arts, Employment, Nomadic, Skill, Student, Training"
Scheme of Assistance for Common Environment Infrastructure: Common Boiler Project by SPV Constituted by Minimum 10 MSMEs,Gujarat,"The scheme ""Scheme of Assistance for Common Environment Infrastructure"" under the Gujarat Industrial Policy aims to provide incentives for environmental compliance to ensure long-term economic and ecological balance.",Entrepreneurship
Excellent Work Award Scheme for Social Worker of De-Notified Communities,Madhya Pradesh,"The ""Excellent Work Award Scheme for Social Workers of De-notified Communities"" by the Government of Madhya Pradesh awards ₹1,00,000/- to a social worker from De-notified, Nomadic, and Semi-Nomadic communities for outstanding contributions to their social and economic upliftment.","Award, Denotified, Financial Assistance, Social Worker"
Hostel Facility Scheme (HPBOCWWB),Himachal Pradesh,"The Hostel Facility Scheme, introduced by the HPBOCWWB , provides financial assistance ranging from ₹15,000 to ₹20,000 annually. This support covers accommodation, boarding, and food expenses for the children of registered worker while they reside in a hostel.","Building Worker, Construction Workers, Financial Assistance, Hostel, Labour"
Gopal Incentive Scheme,Madhya Pradesh,"The ""Gopal Incentive Scheme"" by the Animal Husbandry Department, Government of Madhya Pradesh, promotes the rearing of Indian high-breed cattle and boosts milk production, benefiting animal breeders and livestock farmers with access to Indian advanced breed cows.","Animal, Awards, Cows, Farmers"
Centrally-Sponsored Scheme Of Pre-Matric Scholarship For Scheduled Caste Students Studying In Classes 9th & 10th,Ministry Of Social Justice and Empowerment,"A scholarship scheme by Ministry of Social Justice & Empowerment for regular, full-time students from Scheduled Castes studying in Class 9th and 10th in a Govt. School / a School recognized by Govt. / CBSE / State Board of Secondary Education.","Person With Disability, Pre Matric, Scheduled Caste, Scholarship, Social Welfare, Student"
Scheme of Assistance for Common Environment Infrastructure: Scheme of Assistance for Strengthening the Regulation and Environmental Compliance,Gujarat,"The scheme ""Scheme of Assistance for Common Environment Infrastructure"" under the Gujarat Industrial Policy aims to provide incentives for environmental compliance to ensure long-term economic and ecological balance.","Entrepreneurship, Environment Infrastructure, Environmental Compliance"
Kishori Balika Yojana (Madhya Pradesh),Madhya Pradesh,"The scheme ""Kishori Balika Yojana"" by the Department of Women and Child Development, Government of Madhya Pradesh aims to provide vocational, health, and hygiene training to adolescent girls. Through this scheme, training and material assistance are provided to the girls.","Anganwadi, Development, Education, Girl, Health, Skill, Training, Vocational, Workshop"
INDIRAMMA Disabled Pension (Rural),Andhra Pradesh,"""INDIRAMMA Disabled Pension (Rural)"" scheme aims to disburse monthly pensions to the individuals 18 years or above in age and having a disability of 40% or above. To be eligible, they should be from a BPL family, be a resident of the district, and not be covered under any other Pension Scheme.","Below Poverty Line, BPL, Disability, Pension, Rural, Village"
Scheme for Enhancement of Technical Competence and Manpower: Scheme of Financial Assistance for Tuition Fees for Enhancement of Skill,Gujarat,"The ""Scheme for Enhancement of Technical Competence and Manpower"" under the Gujarat Industrial Policy aims to bridge the industry’s skill gap, boost employment, and align workforce training with evolving technology and business needs.","Industries, Manpower Solution, Skill Development, Technical Competence"
INDIRAMMA Widow Pension (Urban),Andhra Pradesh,"""INDIRAMMA Widow Pension (Urban)"" scheme aims to provide monthly pensions to widows irrespective of their age. To be eligible, they should be from a BPL family, be a resident of a district of Andhra Pradesh, and not be covered under any other Pension Scheme.","Below Poverty Line, BPL, Pension, Urban, Widow, Woman"
Disabled Marriage Incentive Scheme,Chhattisgarh,The objective of the scheme is to provide financial assistance for marriage with a view to social rehabilitation of persons with disabilities who do not fall under the category of income tax payers.,"Disability, Financial Assistance, Incentive, Marriage, Spouse"
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance for Interest Subsidy (Manufacturing Sector),Gujarat,"The scheme ""Dr.Babasaheb Ambedkar Udyog Uday Yojana"" aims to support SC/ST entrepreneurs and strengthen MSMEs, making them globally competitive.","Business, Entrepreneurship, MSMEs, Scheduled Caste, Scheduled Tribe, Start Up"
Haryana State Merit Scholarship Scheme,Haryana,"The scheme aims to support meritorious students from economically backward sections in pursuing higher education. Under this scheme, financial assistance is provided to students pursuing Degree, Post-Graduate, and Doctorate courses.","Doctorate Course, Merit, Post Graduation, Scholarship, Student, Under Graduation"
"Incentives to Women Entrepreneurs Scheme, 2008",Goa,"""Incentives to Women Entrepreneurs Scheme, 2008"" aimed to encourage women entrepreneurship and promote self-employment by providing additional incentives such as interest subsidies and preferential treatment under capital contribution schemes. The scheme benefited women-owned industrial units.","Entrepreneur, Incentive, Industry, Subsidy, Woman"
Grant-in-Aid Scheme to Provide Financial Assistance to the Mahila Mandals,Goa,"""Grant-in-Aid Scheme to Provide Financial Assistance to the Mahila Mandals"" aims to provide financial assistance to Mahila Mandals for training and self-employment activities. The scheme benefits registered Mahila Mandals in Goa, encouraging women's socio-economic development.","Employment, Financial Assistance, Training, Woman"
Transport Loan Scheme,Delhi,"""Transport Loan Scheme"" aims to promote self-employment among target groups by providing term loans for Light Motor Vehicles. The scheme benefits Scheduled Castes, Other Backward Classes, Minorities, and Safai Karamcharis with financial assistance up to ₹5,00,000/-.","Employment, Entrepreneurship, Loan, Minority, Safai Karmachari, Scheduled Caste, Scheduled Tribe, Transport"
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME): Assistance for Interest Subsidy (Service Sector)",Gujarat,"The ""Scheme for Assistance to Micro, Small and Medium Enterprises (MSME)"" launched by the Industries and Mines Department aims to position Gujarat as a global business hub, promoting sustainable manufacturing, MSME growth, and export competitiveness.","Business, Entrepreneurship, Interest Subsidy, MSMEs, Start Up"
Death Assistance Scheme (BBOCWWB),Bihar,"The ""Death Assistance"" scheme provides financial assistance to the legal heir in the case of natural death or accidental death of the registered worker. If the death occurs during a disaster and a grant has already been given by Disaster Management, only ₹1,00,000/- will be payable by the Board.","Building Worker, Construction Workers, Death, Financial Assistance"
Financial Assistance for Cremation (BBOCWWB),Bihar,"The scheme ""Financial Assistance for Cremation"" by the Bihar Building & Other Construction Workers Welfare Board, Labour Resources Department, Government of Bihar, provides financial assistance of ₹5,000/-to the dependents of the deceased worker for performing cremation.","Building, Construction, Death, Financial Assistance, Labour, Worker"
"Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance to basic industrial infrastructure (Water, Gas and Approach Road)",Gujarat,"The scheme ""Dr.Babasaheb Ambedkar Udyog Uday Yojana"" aims to support SC/ST entrepreneurs and strengthen MSMEs, making them globally competitive.","Business, Entrepreneurship, Industrial Infrastructure, MSMEs, Scheduled Caste, Scheduled Tribe, Start Up"
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance to GIDC for Developing Multi-Storied Shed in Estates,Gujarat,"The scheme ""Dr.Babasaheb Ambedkar Udyog Uday Yojana"" aims to support SC/ST entrepreneurs and strengthen MSMEs, making them globally competitive.","Business, Entrepreneurship, MSMEs, Multi Storied Shed, Scheduled Caste, Scheduled Tribe, Start Up"
Divyangjan Scholarship Scheme,Chhattisgarh,"""Divyangjan Scholarship Scheme"" provides financial assistance for the education and training of differently-abled children, who are regular students in a school or college. The application needs to be submitted to the District Office, Panchayat and Social Welfare / Janpad Panchayat Office.","Disability, Education, Financial Assistance, Scholarship, Student"
Rajiv Gandhi Scholarship Scheme,Haryana,"The scheme aims to encourage brilliant students and inculcate a spirit of competition among them. Under this scheme, scholarships/incentives are provided to meritorious students studying in Class VI to Class XII in government schools.","Award, High School, Merit, Scholarship, Secondary School, Student, Topper"
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME): Assistance for Patent Registration",Gujarat,"The ""Scheme for Assistance to Micro, Small and Medium Enterprises (MSME)"" launched by the Industries and Mines Department aims to position Gujarat as a global business hub, promoting sustainable manufacturing, MSME growth, and export competitiveness.","Business, Entrepreneurship, MSMEs, Start Up"
Gujarat Textile Policy: Assistance to SHG for Job Work (Fiscal Incentives to Labour Intensive Unit),Gujarat,"The ""Gujarat Textile Policy"" introduced by the Industries and Mines Department aims to create a vibrant Textile Sector ecosystem and generate enormous employment opportunities in the State.","Business, Entrepreneurship, Labour Intensive Unit, MSMEs, Textile Industry"
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME): Assistance for Technology Acquisition",Gujarat,"The ""Scheme for Assistance to Micro, Small and Medium Enterprises (MSME)"" launched by the Industries and Mines Department aims to position Gujarat as a global business hub, promoting sustainable manufacturing, MSME growth, and export competitiveness.","Business, Entrepreneurship, MSMEs, Start Up"
Bunkar Parivar Sahayata Yojana,Chhattisgarh,"""Bunkar Parivar Sahayata Yojana"" aims to provide immediate financial assistance to families of weavers in case of sudden death. The scheme benefits the families of working weavers who are members of primary weaver cooperative societies by providing financial support of ₹20,000/-.","Death, Family, Financial Assistance, Handloom, Weaver"
Educational Study Scheme,Gujarat,"The ""Educational Study Scheme"" provides financial assistance in the form of loans for self-supporting graduate-level courses in professional fields such as Medical, Dental, Engineering, Technology, Pharmacy, Architecture, Nursing, Homeopathy, Veterinary, and similar disciplines.","Education, Study Loan, Tuition Fee"
Coaching Help Scheme,Gujarat,"The ""Coaching Help Scheme"" provides financial support to non-reserved category students pursuing science in Standard-11 and Standard-12 by covering additional tuition costs.","Education, Tuition Fee Assistance"
Women Scientist Scheme-A,Ministry Of Science And Technology,"A Research Grant by MoST for female candidates to pursue research in frontier areas of science and engineering, preferably those having a break in career (minimum two years) and not having regular employment, to explore possibility of re-entry into the profession.","Education, Empowerment, Fellowship, Science, Scientist, Technology, Unemployed, Women"
RMEWF-Financial Assistance For Education Of Children & Widows Of Ex-Servicemen,Ministry Of Defence,A scheme to provide financial assistance to Ex-Servicemen and their widows for helping them in educating their child (for maximum two children) up to graduation and also for widows to pursue Post Graduation degree.,"Ex-Servicemen, Grant, Wards Of Ex-Servicemen, Widow Of Ex-Servicemen"
Women Scientist Scheme-B,Ministry Of Science And Technology,A Research Grant by MoST for female candidates with break in their career interested in addressing societal challenges through viable S&T interventions. Women scientists who wish to apply under this scheme are required to develop their own project/proposals for scientific and technological solutions,"Fellowship, Female, Research, Science, Scientist, Technology, Women"
IVRI Institute Scholarship For M.V.Sc. And Ph.D.,Ministry Of Agriculture and Farmers Welfare,The Indian Veterinary Research Institute will award scholarships to MVSc and PhD students who need financial assistance.his provision will be utilized to assist as many students as possible who have good academic record and who are making diligent efforts to pursue higher education.,"IVRI Institute, Scholarship"
Prime Minister's Scholarship Scheme,Ministry Of Defence,"Prime Minister’s Scholarship Scheme (PMSS) was introduced in the academic year 2006-07 by the Department of Ex-servicemen Welfare, to encourage higher technical and professional education for the dependent wards of Ex-Servicemen / Ex-Coast Guard personnel and their widows.","Education, Ex-Coast Guard, Ex-servicemen, Scholarship, Student, Widow"
Agricultural Extension,Ministry Of Agriculture and Farmers Welfare,"Extension Division endeavours towards successful implementation of Agricultural Extension activities. Through its various programmes, schemes and activities, Extension Division helps farmers to get information regarding scientific research and new knowledge in agricultural practices.","Agricultural, Extension"
Sub-mission On Agriculture Mechanization,Ministry Of Agriculture and Farmers Welfare,The Sub-Mission on Agricultural Mechanization was launched in 2014-15 by the Ministry of Agriculture and Farmers’ Welfare.,"Agriculture, Mechanization, SMAM, Sub-Mission"
Post Matric Scholarship Students With Disabilities,Ministry Of Social Justice and Empowerment,"A scholarship scheme by DoEPwD for students with disabilities pursuing a post-matric qualification from UGC/AICTE recognized universities, i.e. students of Class 11th, Class 12th, including Polytechnics, Post-Matriculation Diploma/Certificates and Bachelor’s/Master’s Degree/Diploma in India.","Degree, Diploma, Graduation, Persons With Disability, Post-Graduation, Post-Matric, Scholarship, Student"
Financial Assistance Under The National Fund For Persons With Disabilities,Ministry Of Social Justice and Empowerment,A scheme by DoEPwDs for providing financial assistance to the Persons with Disabilities (PwDs) in support of various livelihood activities. The objective of these guidelines is to provide a framework to support financial assistance under the Fund for relevant core areas  for empowerment of PwDs.,"Differently Abled, Disability, Empowerment, Financial Assistance, PwD"
Research Fellowship In Sciences For Meritorious Students,Ministry of Education,The Research Fellowship in Sciences for meritorious students (RFSMS) scheme of the UGC is open to candidates who have registered for Ph.D. in Science in Universities with Potential for Excellence/Centres with Potential for Excellence/Centres of Advance Studies and Department of Special Assistance.,"Fellowship, Research, Student"
National Talent Scholarship Postgraduate,Ministry Of Agriculture and Farmers Welfare,"Merit based support through National Talent Scholarship to the Under-graduates and Post graduate students seeking admission in Agricultural Universities in a State other than the State of their domicile, through ICAR All India Entrance Examination (AIEE).","Agricultural, Postgraduate, Scholarship"
Scheme to Provide Assistance for Construction of Retail Outlets/ Agricultural Malls in State Market Committees,Gujarat,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to support market committees in constructing retail outlets and agricultural malls to facilitate direct selling of farmers' produce, ensuring better pricing and increasing farmers' income.","Agricultural Malls, Agriculture, Assistance For Construction, Retail Outlets"
